한글 표기
아프가니스탄 // 아프가니스탄 이슬람 공화국
알바니아 // 알바니아 공화국
알제리 // 알제리 인민 민주 공화국
안도라 // 안도라 공국
앙골라 // 앙골라 공화국
앤티가 바부다
아르헨티나 // 아르헨티나 공화국
아르메니아 // 아르메니아 공화국
오스트레일리아 // 호주 // 호주 연방
오스트리아 // 오스트리아 공화국
아제르바이잔 // 아제르바이잔 공화국
바하마 // 바하마 연방
바레인 // 바레인 왕국
방글라데시 // 방글라데시 인민 공화국
바베이도스
벨라루스 // 벨라루스 공화국
벨기에 // 벨기에 왕국
벨리즈
베냉 // 베냉 공화국
부탄 // 부탄 왕국
볼리비아 // 볼리비아 다민족국
보스니아 헤르체고비나
보츠와나 // 보츠와나 공화국
브라질 // 브라질 연방 공화국
브루나이 // 브루나이 다루살람
불가리아 // 불가리아 공화국
부르키나파소
부룬디 // 부룬디 공화국
캄보디아 // 캄보디아 왕국
카메룬 // 카메룬 공화국
캐나다
카보베르데 // 카보베르데 공화국
중앙아프리카 공화국
차드 // 차드 공화국
칠레 // 칠레 공화국
중국 // 중화 인민 공화국
콜롬비아 // 콜롬비아 공화국
코모로 // 코모로 연방
콩고 // 콩고 공화국
콩고 민주 공화국
코스타리카 // 코스타리카 공화국
코트디부아르 // 코트디부아르 공화국
크로아티아 // 크로아티아 공화국
쿠바 // 쿠바 공화국
키프로스 // 사이프러스 // 사이프러스 공화국
체코 // 체코 공화국
덴마크 // 덴마크 왕국
지부티 // 지부티 공화국
도미니카 // 도미니카 연방
도미니카 공화국
에콰도르 // 에콰도르 공화국
이집트 // 이집트 아랍 공화국
엘살바도르 // 엘살바도르 공화국
적도 기니 // 적도 기니 공화국
에리트레아
에스토니아 // 에스토니아 공화국
에티오피아 // 에티오피아 연방 민주 공화국
피지 // 피지 공화국
핀란드 // 핀란드 공화국
프랑스 // 프랑스 공화국
가봉 // 가봉 공화국
감비아 // 감비아 공화국
조지아
독일 // 도이칠란트 // 독일 연방 공화국
가나 // 가나 공화국
그리스 // 그리스 공화국
그레나다
과테말라 // 과테말라 공화국
기니 // 기니 공화국
기니비사우 // 기니비사우 공화국
가이아나 // 가이아나 협동 공화국
아이티 // 아이티 공화국
교황-청 // 바티칸 // 바티칸 시국
온두라스 // 온두라스 공화국
헝가리
아이슬란드 // 아이슬란드 공화국
인도 // 인디아 // 인도 공화국
인도네시아 // 인도네시아 공화국
이란 // 이란 이슬람 공화국
이라크 // 이라크 공화국
아일랜드
이스라엘 // 이스라엘-국
이탈리아 // 이탈리아 공화국
자메이카
일본 // 일본-국
요르단 // 요르단 왕국
카자흐스탄 // 카자흐 // 카자흐스탄 공화국
케냐 // 케냐 공화국
키리바시 // 키리바시 공화국
코소보 // 코소보 공화국
쿠웨이트 // 쿠웨이트-국
키르기스 // 키르기스스탄 // 키르기지아 // 키르기즈 공화국
라오스 // 라오 인민 민주 공화국
라트비아 // 라트비아 공화국
레바논 // 레바논 공화국
레소토 // 레소토 왕국
라이베리아 // 라이베리아 공화국
리비아
리히텐슈타인 // 리히텐슈타인 공국
리투아니아 // 리투아니아 공화국
룩셈부르크 // 룩셈부르크 대공국
마케도니아
마다가스카르 // 마다가스카르 공화국
말라위 // 말라위 공화국
말레이시아
몰디브 // 몰디브 공화국
말리 // 말리 공화국
몰타 // 몰타 공화국
마셜 제도 // 마셜 제도 공화국
모리타니 // 모리타니아 이슬람 공화국
모리셔스 // 모리셔스 공화국
멕시코 // 멕시코 합중국
미크로네시아 // 마이크로네시아 연방국
몰도바 // 몰도바 공화국
모나코 // 모나코 공국
몽골 // 몽고 // 몽골-국
몬테네그로
모로코 // 모로코 왕국
모잠비크 // 모잠비크 공화국
미얀마 // 미얀마 연방 공화국
나미비아 // 나미비아 공화국
나우루 // 나우루 공화국
네팔 // 네팔 연방 민주 공화국
네덜란드 // 네덜란드 왕국
뉴질랜드
니카라과 // 니카라과 공화국
니제르 // 니제르 공화국
나이지리아 // 나이지리아 연방 공화국
노르웨이 // 노르웨이 왕국
오만 // 오만 토후국 // 오만 왕국
파키스탄 // 파키스탄 이슬람 공화국
팔라우 // 벨라우 // 팔라우 공화국
파나마 // 파나마 공화국
파푸아 뉴기니 // 파푸아 뉴기니 독립국
파라과이 // 파라과이 공화국
페루 // 페루 공화국
필리핀 // 필리핀 공화국
폴란드 // 폴란드 공화국
포르투갈 // 포르투갈 공화국
카타르 // 카타르-국
루마니아
러시아 // 러시아 연방
르완다 // 르완다 공화국
세인트루시아
세인트키츠 네비스
세인트빈센트 그레나딘
사모아 // 사모아 독립국
산마리노 // 산마리노 공화국
상투메 프린시페 // 상투메 프린시페 민주 공화국
사우디아라비아 // 사우디아라비아 왕국
세네갈 // 세네갈 공화국
세르비아 // 세르비아 공화국
세이셸 // 세이셸 공화국
시에라리온 // 시에라리온 공화국
싱가포르 // 싱가포르 공화국
슬로바키아 // 슬로바키아 공화국
슬로베니아 // 슬로베니아 공화국
솔로몬 제도
소말리아 // 소말리아 공화국
남아프리카 공화국 // 남아-공
남-수단 // 남수단 공화국
에스파냐 // 스페인 // 스페인 왕국
스리랑카 // 스리랑카 민주 사회주의 공화국
수단 // 수단 공화국
수리남 // 수리남 공화국
스와질란드 // 스와질랜드 왕국
스웨덴 // 스웨덴 왕국
스위스 // 스위스 연방
시리아 // 시리아 아랍 공화국
타지키스탄 // 타지크 // 타지키스탄 공화국
탄자니아 // 탄자니아 합중국
태국 // 타이
